Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Country,Timestamp,Clicked on Ad,Gender
41.82,41,24852.9,156.36,Phased transitional instruction set,Brendachester,Iran,2016-05-26 22:49:47,1,female
85.61,27,47708.42,183.43,Customer-focused empowering ability,Lake Amy,Burundi,2016-04-30 08:07:13,0,female
85.84,34,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,Saint Vincent and the Grenadines,2016-06-15 05:30:13,0,male
72.08,29,71228.44,169.5,Stand-alone national attitude,Smithburgh,Burundi,2016-03-09 14:45:33,0,female
86.06,32,61601.05,178.92,Focused upward-trending core,North Leonmouth,Bulgaria,2016-03-31 20:55:22,0,male
45.96,45,66281.46,141.22,Streamlined cohesive conglomeration,Robertfurt,Christmas Island,2016-06-03 00:55:23,1,female
62.42,29,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,Canada,2016-03-10 23:36:03,0,male
63.89,40,51317.33,105.22,Synchronized user-facing core,Jensenborough,Rwanda,2016-01-08 00:17:27,1,female
35.33,32,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,Turks and Caicos Islands,2016-06-05 22:11:34,1,female
75.74,25,61005.87,215.25,Ergonomic multi-state structure,New Sheila,Tunisia,2016-01-16 11:35:01,0,male
78.53,34,32536.98,131.72,Synergized multimedia emulation,North Regina,Norfolk Island,2016-04-22 20:10:22,1,female
46.13,31,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,Bouvet Island (Bouvetoya),2016-02-01 09:00:55,1,female
69.01,46,74543.81,222.63,Advanced full-range migration,New Michaeltown,Turks and Caicos Islands,2016-07-07 13:37:34,0,female
55.35,39,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,Cook Islands,2016-03-08 00:37:54,1,male
33.21,43,42650.32,167.07,Polarized clear-thinking budgetary management,Wilcoxport,Turkey,2016-05-10 17:39:06,1,male
38.46,42,58183.04,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,Guatemala,2016-04-06 11:24:21,1,male
64.1,22,60465.72,215.93,Seamless object-oriented structure,East Tiffanyport,Cote d'Ivoire,2016-04-01 16:21:05,0,female
49.81,35,57009.76,120.06,Seamless real-time array,Ramirezhaven,Faroe Islands,2016-01-05 04:18:46,1,male
82.73,33,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,Qatar,2016-05-20 21:31:24,0,male
56.14,38,32689.04,113.53,Devolved tangible approach,Lake Edward,Ireland,2016-02-03 07:59:16,1,male
55.13,45,55605.92,111.71,Customizable executive software,Lake Conniefurt,Ukraine,2016-02-17 21:55:29,1,female
78.11,27,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,Moldova,2016-01-30 16:10:04,0,male
73.46,28,65653.47,222.75,Innovative executive encoding,West Joseph,Nicaragua,2016-05-15 14:41:49,0,male
56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,Montserrat,2016-01-05 17:56:52,1,female
68.94,54,30726.26,138.71,Streamlined next generation implementation,East Tylershire,Timor-Leste,2016-04-19 07:34:28,1,female
70.79,31,74535.94,184.1,Distributed tertiary system engine,Sharpberg,Bouvet Island (Bouvetoya),2016-03-15 15:49:14,0,female
57.76,41,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,Puerto Rico,2016-06-12 15:25:44,1,female
77.51,36,73600.28,200.55,Total 5thgeneration encoding,North Kristine,Central African Republic,2016-07-01 04:41:57,0,female
52.7,34,58543.94,118.6,Integrated human-resource encoding,Grahamberg,Venezuela,2016-05-08 12:12:04,1,male
57.7,34,42696.67,109.07,Phased dynamic customer loyalty,New Tina,Australia,2016-03-14 23:13:11,1,female
56.89,37,37334.78,109.29,Open-source coherent policy,Nelsonfurt,Wallis and Futuna,2016-05-25 00:19:57,1,male
69.9,43,71392.53,138.35,Down-sized modular intranet,Christopherport,Jersey,2016-05-13 11:51:10,1,female
55.79,24,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,Puerto Rico,2016-02-20 20:47:05,1,female
70.03,26,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,Samoa,2016-05-22 20:49:37,0,male
50.08,40,64147.86,125.85,Ergonomic full-range time-frame,Whiteport,Greece,2016-04-10 02:02:36,1,male
43.67,31,25686.34,166.29,Automated directional function,New Theresa,Antarctica (the territory South of 60 deg S),2016-02-28 06:41:44,1,male
72.84,26,52968.22,238.63,Progressive empowering alliance,Wongland,Albania,2016-07-08 21:18:32,0,female
45.72,36,22473.08,154.02,Versatile homogeneous capacity,Williammouth,Hong Kong,2016-04-19 15:14:58,1,male
39.94,41,64927.19,156.3,Function-based optimizing protocol,Williamsborough,Lithuania,2016-01-08 22:47:10,1,female
35.61,46,51868.85,158.22,Up-sized secondary software,North Michael,Egypt,2016-03-28 08:46:26,1,female
79.71,34,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,Bangladesh,2016-07-02 14:57:53,0,male
41.49,53,31947.65,169.18,Persevering reciprocal firmware,Hernandezville,Western Sahara,2016-07-03 09:22:30,1,female
63.6,23,51864.77,235.28,Centralized logistical secured line,Youngburgh,Serbia,2016-06-01 09:27:34,0,male
89.91,40,59593.56,194.23,Innovative background conglomeration,Wallacechester,Maldives,2016-07-09 14:55:36,0,female
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,Czech Republic,2016-02-09 22:04:54,0,male
66.49,20,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,Guernsey,2016-06-10 11:31:33,0,female
80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,Tanzania,2016-02-14 03:50:52,0,male
72.23,25,46557.92,241.03,Focused 24hour implementation,Marcushaven,Bhutan,2016-07-05 17:17:49,0,male
42.39,42,66541.05,150.99,De-engineered mobile infrastructure,Erinton,Christmas Island,2016-04-28 05:50:25,1,female
47.53,30,33258.09,135.18,Customer-focused upward-trending contingency,Hughesport,Guinea,2016-04-03 05:10:31,1,female
74.02,32,72272.9,210.54,Operative system-worthy protocol,Johnstad,Micronesia,2016-03-09 14:57:11,0,female
66.63,60,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,Madagascar,2016-01-16 23:37:51,1,female
63.24,53,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,Lebanon,2016-07-03 04:33:41,1,male
71.0,22,56067.38,211.87,Extended systemic policy,Andersonton,Eritrea,2016-03-14 06:46:14,0,female
46.13,46,37838.72,123.64,Horizontal hybrid challenge,New Rachel,Guyana,2016-01-09 05:44:56,1,male
69.0,32,72683.35,221.21,Virtual composite model,Port Susan,Trinidad and Tobago,2016-02-11 04:37:34,0,male
76.99,31,56729.78,244.34,Switchable mobile framework,West Angelabury,Jersey,2016-06-22 07:33:21,0,male
72.6,55,66815.54,162.95,Focused intangible moderator,Port Christopherborough,United Arab Emirates,2016-07-13 16:12:24,1,female
61.88,42,60223.52,112.19,Balanced actuating moderator,Phillipsbury,Martinique,2016-07-23 11:46:28,1,male
84.45,50,29727.79,207.18,Customer-focused transitional strategy,Millerside,Somalia,2016-07-13 04:10:53,1,female
88.97,45,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,Bhutan,2016-06-11 18:32:12,1,female
86.19,31,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,Greece,2016-05-08 12:51:00,0,male
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,Benin,2016-04-07 16:02:02,0,female
77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,Papua New Guinea,2016-02-04 13:30:32,0,female
37.75,36,35466.8,225.24,Polarized dynamic throughput,South Daniel,Uzbekistan,2016-02-26 19:48:23,1,female
62.33,43,68787.09,127.11,Devolved zero administration intranet,Suzannetown,South Africa,2016-06-21 13:15:21,1,female
79.57,31,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,Egypt,2016-05-17 04:27:31,0,female
80.31,44,56366.88,127.07,Cross-platform regional task-force,Brianfurt,Hungary,2016-04-18 15:54:33,1,female
89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,Falkland Islands (Malvinas),2016-04-03 10:07:56,0,female
70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,Dominica,2016-04-04 21:30:46,0,female
67.36,37,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,Jersey,2016-07-06 16:00:33,0,female
46.98,50,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,Lithuania,2016-05-04 09:00:24,1,female
41.67,36,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,Saint Martin,2016-06-13 18:50:00,1,female
51.24,36,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,Cuba,2016-01-03 16:01:40,1,female
75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,United States Minor Outlying Islands,2016-01-14 00:23:10,0,female
43.49,47,50335.46,127.83,User-centric intangible task-force,Guzmanland,Belize,2016-01-12 10:07:29,1,female
49.89,39,17709.98,160.03,Enhanced system-worthy application,East Michele,Belize,2016-04-16 12:09:25,1,male
38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,East John,Antarctica (the territory South of 60 deg S),2016-05-13 06:09:28,1,female
38.52,38,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,Saint Vincent and the Grenadines,2016-03-27 23:59:06,1,male
71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,Kuwait,2016-02-03 23:47:56,0,male
75.8,38,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,Thailand,2016-04-18 11:23:05,0,male
83.86,31,64122.36,190.25,Up-sized executive moderator,Lake Josetown,Gibraltar,2016-02-05 19:06:01,0,female
37.51,30,52097.32,163.0,Re-contextualized optimal service-desk,Debraburgh,Holy See (Vatican City State),2016-03-21 18:46:41,1,male
55.6,44,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,Korea,2016-06-14 11:59:58,1,male
83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,Saint Helena,2016-02-06 23:08:57,0,male
69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,Turks and Caicos Islands,2016-03-12 01:39:19,0,female
37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,Czech Republic,2016-01-26 03:56:18,1,male
56.04,49,65120.86,128.95,Decentralized real-time circuit,West Ricardo,Netherlands,2016-02-07 08:02:31,1,male
70.92,41,49995.63,108.16,Polarized modular function,Lake Jose,Belarus,2016-05-05 07:58:22,1,male
49.78,46,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,Dominica,2016-06-29 02:43:29,1,female
68.61,57,61770.34,150.29,Diverse modular interface,South George,South Africa,2016-04-10 19:48:01,1,female
58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,New Zealand,2016-02-10 06:37:56,0,male
78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,Togo,2016-05-28 20:41:50,0,female
37.0,48,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,Kenya,2016-03-24 06:36:52,1,male
65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,Palau,2016-02-12 22:51:08,0,female
79.52,27,64287.78,183.48,Automated coherent flexibility,East Timothyport,Timor-Leste,2016-06-10 10:11:00,0,male
87.98,38,56637.59,222.11,Focused scalable complexity,West Roytown,Cambodia,2016-03-31 10:44:46,0,male
44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,Belize,2016-02-14 06:51:43,1,female
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,Cuba,2016-01-07 19:16:05,1,male
80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,Costa Rica,2016-02-04 02:13:52,0,male
75.55,36,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,Liechtenstein,2016-05-09 02:58:58,1,female
76.32,35,74166.24,195.31,Networked foreground definition,East Michaeltown,Korea,2016-06-23 00:16:02,0,male
82.68,33,62669.59,222.77,Re-engineered exuding frame,West Courtney,Ukraine,2016-06-20 09:35:02,0,male
72.01,31,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,Angola,2016-02-29 12:31:57,0,female
75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,Nauru,2016-01-17 15:10:31,0,female
41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,Equatorial Guinea,2016-01-29 03:54:19,1,female
34.66,32,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,Mongolia,2016-07-14 12:07:10,1,female
66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,1,female
86.06,31,53767.12,219.72,Extended local methodology,Timothytown,Timor-Leste,2016-04-28 18:34:56,0,male
59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,Brazil,2016-07-06 18:36:01,1,male
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,Chad,2016-05-27 06:19:27,0,female
43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,Portugal,2016-01-25 07:39:41,1,male
71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,Malawi,2016-05-08 22:47:18,0,male
80.23,31,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,Qatar,2016-03-19 14:23:45,0,female
74.41,26,64395.85,163.05,Right-sized value-added initiative,Dianashire,Singapore,2016-07-23 04:37:05,0,female
63.36,48,70053.27,137.43,Centralized tertiary pricing structure,East Eric,Guinea,2016-06-23 01:22:43,1,female
71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,Kazakhstan,2016-07-19 18:06:22,0,female
60.72,44,42995.8,105.69,Synergized context-sensitive database,Jacobstad,Kuwait,2016-02-28 18:52:44,1,female
72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,Rwanda,2016-02-10 06:52:07,0,female
44.57,31,38349.78,133.17,Adaptive context-sensitive application,Joneston,China,2016-03-27 09:11:10,1,male
85.86,34,63115.34,208.23,Networked high-level structure,New Jeffreychester,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,0,female
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,Vietnam,2016-01-03 03:22:15,1,female
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,Guatemala,2016-01-04 21:48:38,1,female
62.95,60,36752.24,157.04,Polarized tangible collaboration,Youngfort,Peru,2016-05-24 13:30:38,1,female
67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,Mayotte,2016-02-01 19:42:40,0,male
85.56,29,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,Samoa,2016-06-05 13:16:24,0,female
46.88,54,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,Singapore,2016-02-04 08:53:37,1,female
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,Jamaica,2016-03-24 13:37:53,1,male
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,Bahamas,2016-06-02 21:02:22,0,male
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,Canada,2016-02-21 07:42:48,1,female
39.86,36,32593.59,145.85,Total 5thgeneration standardization,Josephstad,Algeria,2016-06-26 17:16:26,1,female
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,Fiji,2016-01-03 05:34:33,1,female
60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,Kenya,2016-03-08 18:00:43,1,female
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,Argentina,2016-06-19 03:19:44,1,male
43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,Bouvet Island (Bouvetoya),2016-07-21 21:16:35,1,male
77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,Philippines,2016-02-12 20:36:40,0,male
71.86,32,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,Senegal,2016-05-17 06:14:20,1,female
44.78,45,63363.04,137.24,Extended context-sensitive monitoring,West Casey,Suriname,2016-07-09 11:04:54,1,male
78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,Liberia,2016-03-27 02:35:29,0,male
73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,Guam,2016-01-16 08:01:40,0,male
77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,United Arab Emirates,2016-01-21 23:48:29,0,female
66.4,40,77567.85,214.42,Digitized heuristic solution,Port Destiny,Antigua and Barbuda,2016-06-05 00:29:13,0,female
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,Argentina,2016-02-13 15:37:36,0,male
35.65,40,31265.75,172.58,Seamless intangible secured line,North Johntown,Georgia,2016-05-10 07:22:37,1,male
70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,Jordan,2016-03-27 03:59:26,0,male
69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Saudi Arabia,2016-05-24 18:35:58,0,female
58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,South Africa,2016-02-11 02:40:02,1,female
76.9,28,66107.84,212.67,Synchronized multimedia model,Murphymouth,Croatia,2016-04-22 08:31:24,0,female
84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,Fiji,2016-01-13 02:58:27,0,male
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,Australia,2016-06-16 02:01:24,1,female
40.15,38,38745.29,134.88,Exclusive disintermediate task-force,Joechester,Sao Tome and Principe,2016-06-27 18:37:04,1,male
76.81,28,65172.22,217.85,Managed zero tolerance concept,East Paul,Fiji,2016-07-03 12:57:03,0,male
41.89,38,68519.96,163.38,Compatible systemic function,Hartmanchester,Cyprus,2016-02-03 04:21:14,1,female
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,Kyrgyz Republic,2016-05-29 21:17:10,0,male
67.28,43,76246.96,155.8,Future-proofed coherent hardware,North Mercedes,Pakistan,2016-04-03 21:13:46,1,male
81.98,40,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,Seychelles,2016-04-15 11:51:14,0,female
66.01,23,34127.21,151.95,Front-line tangible alliance,Hansenmouth,Samoa,2016-06-21 03:14:41,1,female
61.57,53,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,Bulgaria,2016-03-14 14:13:05,1,male
53.3,34,44893.71,111.94,Self-enabling optimal initiative,West Jessicahaven,Mauritania,2016-05-06 21:07:31,1,female
34.87,40,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,Czech Republic,2016-06-12 17:52:43,1,female
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,Chile,2016-01-11 07:36:22,1,female
77.88,37,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,Poland,2016-07-02 00:24:22,0,female
75.83,27,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,Estonia,2016-03-04 10:13:48,0,female
49.95,39,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,Turkmenistan,2016-03-24 09:12:52,1,female
60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,Latvia,2016-02-14 07:30:24,1,female
89.15,42,59886.58,171.07,Phased zero administration success,Townsendfurt,Fiji,2016-04-25 07:30:21,0,female
78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,Turkey,2016-02-10 19:20:51,1,female
57.35,29,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,Kazakhstan,2016-04-23 14:34:38,1,female
34.86,38,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,Bahrain,2016-06-18 17:56:32,1,female
70.68,31,74430.08,199.08,Configurable multi-state utilization,Robertbury,Colombia,2016-07-17 01:58:53,0,female
76.06,23,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,Brunei Darussalam,2016-04-27 04:28:17,0,female
66.67,33,72707.87,228.03,Horizontal content-based synergy,Turnerview,Taiwan,2016-04-21 20:29:35,0,male
46.77,32,31092.93,136.4,Multi-tiered maximized archive,Reneechester,Serbia,2016-03-23 06:00:15,1,male
62.42,38,74445.18,143.94,Diverse executive groupware,West Tinashire,Saint Pierre and Miquelon,2016-07-19 07:59:18,1,female
78.32,28,49309.14,239.52,Synergized cohesive array,Jamesfurt,Australia,2016-06-26 11:52:18,1,female
37.32,50,56735.14,199.25,Versatile dedicated software,New Nancy,Chad,2016-03-30 23:40:52,1,male
40.42,45,40183.75,133.9,Stand-alone reciprocal synergy,Lisamouth,Norway,2016-03-16 07:59:37,1,male
76.77,36,58348.41,123.51,Universal even-keeled analyzer,Harveyport,Turks and Caicos Islands,2016-05-04 00:01:33,1,female
